,tag,patterns,response
0,greeting,Hi,Hey there!
1,greeting,Hi,Hello! How can I assist you?
2,greeting,Hi,"Hi, how's it going?"
3,greeting,Hi,"Hey, nice to see you!"
4,greeting,Hi,Hi there! What can I do for you today?
5,greeting,Hi,Hello! Hope you're having a great day!
6,greeting,Hey,Hey there!
7,greeting,Hey,Hello! How can I assist you?
8,greeting,Hey,"Hi, how's it going?"
9,greeting,Hey,"Hey, nice to see you!"
10,greeting,Hey,Hi there! What can I do for you today?
11,greeting,Hey,Hello! Hope you're having a great day!
12,greeting,Howdy,Hey there!
13,greeting,Howdy,Hello! How can I assist you?
14,greeting,Howdy,"Hi, how's it going?"
15,greeting,Howdy,"Hey, nice to see you!"
16,greeting,Howdy,Hi there! What can I do for you today?
17,greeting,Howdy,Hello! Hope you're having a great day!
18,greeting,Hello,Hey there!
19,greeting,Hello,Hello! How can I assist you?
20,greeting,Hello,"Hi, how's it going?"
21,greeting,Hello,"Hey, nice to see you!"
22,greeting,Hello,Hi there! What can I do for you today?
23,greeting,Hello,Hello! Hope you're having a great day!
24,greeting,Hi there,Hey there!
25,greeting,Hi there,Hello! How can I assist you?
26,greeting,Hi there,"Hi, how's it going?"
27,greeting,Hi there,"Hey, nice to see you!"
28,greeting,Hi there,Hi there! What can I do for you today?
29,greeting,Hi there,Hello! Hope you're having a great day!
30,greeting,Greetings,Hey there!
31,greeting,Greetings,Hello! How can I assist you?
32,greeting,Greetings,"Hi, how's it going?"
33,greeting,Greetings,"Hey, nice to see you!"
34,greeting,Greetings,Hi there! What can I do for you today?
35,greeting,Greetings,Hello! Hope you're having a great day!
36,weather,What's the weather like today?,The weather is sunny and warm today.
37,weather,What's the weather like today?,"Currently, it's partly cloudy with a temperature of 75°F."
38,weather,What's the weather like today?,It looks like there might be some showers later in the day.
39,weather,What's the weather like today?,The weather forecast predicts clear skies and a high of 80°F.
40,weather,What's the weather like today?,Expect a mix of sun and clouds with a chance of rain in the afternoon.
41,weather,Tell me the current weather,The weather is sunny and warm today.
42,weather,Tell me the current weather,"Currently, it's partly cloudy with a temperature of 75°F."
43,weather,Tell me the current weather,It looks like there might be some showers later in the day.
44,weather,Tell me the current weather,The weather forecast predicts clear skies and a high of 80°F.
45,weather,Tell me the current weather,Expect a mix of sun and clouds with a chance of rain in the afternoon.
46,weather,How's the weather outside?,The weather is sunny and warm today.
47,weather,How's the weather outside?,"Currently, it's partly cloudy with a temperature of 75°F."
48,weather,How's the weather outside?,It looks like there might be some showers later in the day.
49,weather,How's the weather outside?,The weather forecast predicts clear skies and a high of 80°F.
50,weather,How's the weather outside?,Expect a mix of sun and clouds with a chance of rain in the afternoon.
51,weather,Is it going to rain?,The weather is sunny and warm today.
52,weather,Is it going to rain?,"Currently, it's partly cloudy with a temperature of 75°F."
53,weather,Is it going to rain?,It looks like there might be some showers later in the day.
54,weather,Is it going to rain?,The weather forecast predicts clear skies and a high of 80°F.
55,weather,Is it going to rain?,Expect a mix of sun and clouds with a chance of rain in the afternoon.
56,weather,Weather forecast,The weather is sunny and warm today.
57,weather,Weather forecast,"Currently, it's partly cloudy with a temperature of 75°F."
58,weather,Weather forecast,It looks like there might be some showers later in the day.
59,weather,Weather forecast,The weather forecast predicts clear skies and a high of 80°F.
60,weather,Weather forecast,Expect a mix of sun and clouds with a chance of rain in the afternoon.
61,hobbies,What are your hobbies?,"As an AI, I don't have hobbies like humans, but I enjoy helping and learning from users like you!"
62,hobbies,What are your hobbies?,"I'm here to assist and chat with you, so feel free to ask me anything!"
63,hobbies,What are your hobbies?,My main focus is providing useful information and engaging in conversation with you.
64,hobbies,Do you have any hobbies?,"As an AI, I don't have hobbies like humans, but I enjoy helping and learning from users like you!"
65,hobbies,Do you have any hobbies?,"I'm here to assist and chat with you, so feel free to ask me anything!"
66,hobbies,Do you have any hobbies?,My main focus is providing useful information and engaging in conversation with you.
67,hobbies,Tell me about your interests,"As an AI, I don't have hobbies like humans, but I enjoy helping and learning from users like you!"
68,hobbies,Tell me about your interests,"I'm here to assist and chat with you, so feel free to ask me anything!"
69,hobbies,Tell me about your interests,My main focus is providing useful information and engaging in conversation with you.
70,music,What's your favorite music genre?,"As an AI, I don't have personal preferences, but I love all kinds of music!"
71,music,What's your favorite music genre?,Here's a great song recommendation: 'Shape of You' by Ed Sheeran.
72,music,What's your favorite music genre?,"I don't have a favorite artist, but I can suggest music based on your taste."
73,music,Tell me a song recommendation,"As an AI, I don't have personal preferences, but I love all kinds of music!"
74,music,Tell me a song recommendation,Here's a great song recommendation: 'Shape of You' by Ed Sheeran.
75,music,Tell me a song recommendation,"I don't have a favorite artist, but I can suggest music based on your taste."
76,music,Who's your favorite artist?,"As an AI, I don't have personal preferences, but I love all kinds of music!"
77,music,Who's your favorite artist?,Here's a great song recommendation: 'Shape of You' by Ed Sheeran.
78,music,Who's your favorite artist?,"I don't have a favorite artist, but I can suggest music based on your taste."
79,movies,What's a good movie to watch?,"For action fans, I recommend 'The Dark Knight'."
80,movies,What's a good movie to watch?,"If you enjoy comedy, 'The Hangover' is a hilarious movie to watch."
81,movies,What's a good movie to watch?,"My favorite movie is 'The Shawshank Redemption', it's a classic!"
82,movies,Any movie recommendations?,"For action fans, I recommend 'The Dark Knight'."
83,movies,Any movie recommendations?,"If you enjoy comedy, 'The Hangover' is a hilarious movie to watch."
84,movies,Any movie recommendations?,"My favorite movie is 'The Shawshank Redemption', it's a classic!"
85,movies,Tell me your favorite movie,"For action fans, I recommend 'The Dark Knight'."
86,movies,Tell me your favorite movie,"If you enjoy comedy, 'The Hangover' is a hilarious movie to watch."
87,movies,Tell me your favorite movie,"My favorite movie is 'The Shawshank Redemption', it's a classic!"
88,farewell,Goodbye,Goodbye! Feel free to come back anytime.
89,farewell,Goodbye,See you later! Have a wonderful day.
90,farewell,Goodbye,Talk to you soon! Take care.
91,farewell,Goodbye,It was nice chatting with you too. Have a great day!
92,farewell,See you later,Goodbye! Feel free to come back anytime.
93,farewell,See you later,See you later! Have a wonderful day.
94,farewell,See you later,Talk to you soon! Take care.
95,farewell,See you later,It was nice chatting with you too. Have a great day!
96,farewell,Talk to you soon,Goodbye! Feel free to come back anytime.
97,farewell,Talk to you soon,See you later! Have a wonderful day.
98,farewell,Talk to you soon,Talk to you soon! Take care.
99,farewell,Talk to you soon,It was nice chatting with you too. Have a great day!
100,farewell,It was nice chatting with you,Goodbye! Feel free to come back anytime.
101,farewell,It was nice chatting with you,See you later! Have a wonderful day.
102,farewell,It was nice chatting with you,Talk to you soon! Take care.
103,farewell,It was nice chatting with you,It was nice chatting with you too. Have a great day!
104,informal_question,What's up?,"Not much, just here to chat with you."
105,informal_question,What's up?,My day is going well. How about yours?
106,informal_question,What's up?,Nothing much is new. What about you?
107,informal_question,What's up?,"I'm an AI, so I don't have weekend plans, but I'm always here to chat!"
108,informal_question,What's up?,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
109,informal_question,How's your day?,"Not much, just here to chat with you."
110,informal_question,How's your day?,My day is going well. How about yours?
111,informal_question,How's your day?,Nothing much is new. What about you?
112,informal_question,How's your day?,"I'm an AI, so I don't have weekend plans, but I'm always here to chat!"
113,informal_question,How's your day?,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
114,informal_question,What's new?,"Not much, just here to chat with you."
115,informal_question,What's new?,My day is going well. How about yours?
116,informal_question,What's new?,Nothing much is new. What about you?
117,informal_question,What's new?,"I'm an AI, so I don't have weekend plans, but I'm always here to chat!"
118,informal_question,What's new?,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
119,informal_question,Got any plans for the weekend?,"Not much, just here to chat with you."
120,informal_question,Got any plans for the weekend?,My day is going well. How about yours?
121,informal_question,Got any plans for the weekend?,Nothing much is new. What about you?
122,informal_question,Got any plans for the weekend?,"I'm an AI, so I don't have weekend plans, but I'm always here to chat!"
123,informal_question,Got any plans for the weekend?,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
124,informal_question,Tell me a joke!,"Not much, just here to chat with you."
125,informal_question,Tell me a joke!,My day is going well. How about yours?
126,informal_question,Tell me a joke!,Nothing much is new. What about you?
127,informal_question,Tell me a joke!,"I'm an AI, so I don't have weekend plans, but I'm always here to chat!"
128,informal_question,Tell me a joke!,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
129,formal_question,Could you please provide more information?,Certainly! I'd be happy to provide more information.
130,formal_question,Could you please provide more information?,Of course! Feel free to ask your question.
131,formal_question,Could you please provide more information?,"Sure, let me tell you about our pricing."
132,formal_question,Could you please provide more information?,Absolutely! I'll be happy to elaborate on that topic.
133,formal_question,May I ask a question?,Certainly! I'd be happy to provide more information.
134,formal_question,May I ask a question?,Of course! Feel free to ask your question.
135,formal_question,May I ask a question?,"Sure, let me tell you about our pricing."
136,formal_question,May I ask a question?,Absolutely! I'll be happy to elaborate on that topic.
137,formal_question,I would like to know about the pricing,Certainly! I'd be happy to provide more information.
138,formal_question,I would like to know about the pricing,Of course! Feel free to ask your question.
139,formal_question,I would like to know about the pricing,"Sure, let me tell you about our pricing."
140,formal_question,I would like to know about the pricing,Absolutely! I'll be happy to elaborate on that topic.
141,formal_question,Could you elaborate on that?,Certainly! I'd be happy to provide more information.
142,formal_question,Could you elaborate on that?,Of course! Feel free to ask your question.
143,formal_question,Could you elaborate on that?,"Sure, let me tell you about our pricing."
144,formal_question,Could you elaborate on that?,Absolutely! I'll be happy to elaborate on that topic.
145,math_operations,What is 15 + 7?,The sum of 15 and 7 is 22.
146,math_operations,What is 15 + 7?,42 minus 18 equals 24.
147,math_operations,What is 15 + 7?,8 multiplied by 6 is 48.
148,math_operations,Calculate 42 - 18.,The sum of 15 and 7 is 22.
149,math_operations,Calculate 42 - 18.,42 minus 18 equals 24.
150,math_operations,Calculate 42 - 18.,8 multiplied by 6 is 48.
151,math_operations,What's the result of 8 multiplied by 6?,The sum of 15 and 7 is 22.
152,math_operations,What's the result of 8 multiplied by 6?,42 minus 18 equals 24.
153,math_operations,What's the result of 8 multiplied by 6?,8 multiplied by 6 is 48.
154,math_formulas,What's the formula for the area of a circle?,"The formula for the area of a circle is A = π * r^2, where 'r' is the radius."
155,math_formulas,What's the formula for the area of a circle?,"To calculate the volume of a cylinder, use V = π * r^2 * h, where 'r' is the radius and 'h' is the height."
156,math_formulas,What's the formula for the area of a circle?,"The equation for quadratic functions is y = ax^2 + bx + c, where 'a', 'b', and 'c' are constants."
157,math_formulas,How do I calculate the volume of a cylinder?,"The formula for the area of a circle is A = π * r^2, where 'r' is the radius."
158,math_formulas,How do I calculate the volume of a cylinder?,"To calculate the volume of a cylinder, use V = π * r^2 * h, where 'r' is the radius and 'h' is the height."
159,math_formulas,How do I calculate the volume of a cylinder?,"The equation for quadratic functions is y = ax^2 + bx + c, where 'a', 'b', and 'c' are constants."
160,math_formulas,Tell me the equation for quadratic functions.,"The formula for the area of a circle is A = π * r^2, where 'r' is the radius."
161,math_formulas,Tell me the equation for quadratic functions.,"To calculate the volume of a cylinder, use V = π * r^2 * h, where 'r' is the radius and 'h' is the height."
162,math_formulas,Tell me the equation for quadratic functions.,"The equation for quadratic functions is y = ax^2 + bx + c, where 'a', 'b', and 'c' are constants."
163,prime_numbers,Is 23 a prime number?,"Yes, 23 is a prime number because it has no divisors other than 1 and itself."
